client_id,portfolio_name,investment_goal,initial_investment,creation_date
5256,Emergency Fund,Wealth Creation,2579032.85,2018-12-22
5256,Global Equity,Wealth Creation,301023.85,2025-08-10
2975,Emergency Fund,Income,4677536.21,2021-04-18
6419,Global Equity,Income,2421989.45,2025-07-11
6419,Retirement Portfolio,Wealth Creation,4639264.27,2020-09-05
6419,Wealth Creation,Capital Appreciation,4533969.06,2021-03-10
3465,Balanced Portfolio,Tax Saving,4352293.59,2018-11-20
3465,Long Term Growth,Education,3059424.37,2023-01-08
3465,Aggressive Growth,Income,3610890.22,2019-06-14
7549,Dividend Income,Retirement,53141.86,2026-03-01
7027,Emergency Fund,Tax Saving,531568.67,2019-12-26
7027,Emergency Fund,Tax Saving,1345863.57,2021-02-16
7027,Aggressive Growth,Income,1165015.34,2021-03-23
7027,Balanced Portfolio,Income,2876763.82,2019-02-27
7756,Dividend Income,Tax Saving,3888510.91,2021-05-16
7756,Wealth Creation,Wealth Creation,1720473.39,2025-11-28
7756,Emergency Fund,Tax Saving,3271819.2,2024-08-05
7269,Emergency Fund,Retirement,3211118.2,2025-02-10
7269,Dividend Income,Capital Appreciation,2837568.21,2021-04-26
7269,Education Fund,Wealth Creation,4038650.67,2019-08-05
7542,Dividend Income,Tax Saving,1468475.85,2024-06-15
4588,Retirement Portfolio,Retirement,284178.58,2026-03-17
4588,Balanced Portfolio,Capital Appreciation,1704278.79,2026-04-22
3482,Long Term Growth,Income,1869558.46,2025-01-21
3482,Retirement Portfolio,Wealth Creation,4022187.32,2021-09-28
3482,Global Equity,Wealth Creation,3132909.19,2019-08-25
3482,Retirement Portfolio,Retirement,646386.06,2022-04-19
7509,Global Equity,Capital Appreciation,3839047.48,2025-12-14
7509,Emergency Fund,Education,4693558.91,2022-05-14
7509,Balanced Portfolio,Capital Appreciation,737524.24,2022-11-23
7509,Tax Saving,Income,2372758.4,2022-08-08
7365,Aggressive Growth,Capital Appreciation,1233287.12,2020-08-18
7365,Education Fund,Retirement,2380940.33,2021-10-20
7365,Balanced Portfolio,Tax Saving,685928.71,2026-05-04
7365,Global Equity,Education,1969934.3,2020-07-16
7162,Aggressive Growth,Capital Appreciation,833979.62,2020-11-28
7162,Emergency Fund,Wealth Creation,3297333.45,2024-05-09
7162,Dividend Income,Tax Saving,1204490.66,2018-11-16
7162,Wealth Creation,Retirement,3904687.57,2022-06-22
3460,Balanced Portfolio,Wealth Creation,1436850.78,2018-08-26
3460,Global Equity,Retirement,245437.68,2022-02-18
3460,Education Fund,Retirement,1897264.25,2022-04-19
7826,Retirement Portfolio,Tax Saving,3578105.07,2024-02-27
7826,Education Fund,Tax Saving,465647.06,2025-03-05
7826,Dividend Income,Education,2928783.76,2022-10-15
3020,Education Fund,Capital Appreciation,430150.26,2021-10-23
3020,Dividend Income,Wealth Creation,4185320.89,2024-06-11
3020,Long Term Growth,Tax Saving,4612080.05,2026-02-08
6126,Dividend Income,Retirement,2573078.08,2019-08-24
6126,Long Term Growth,Retirement,556613.98,2020-05-23
6642,Aggressive Growth,Income,4832819.89,2023-10-26
6642,Long Term Growth,Wealth Creation,117577.11,2019-04-03
6642,Dividend Income,Tax Saving,2880002.39,2022-06-18
6642,Global Equity,Wealth Creation,212998.73,2021-07-05
7196,Dividend Income,Retirement,4594144.17,2026-01-31
7196,Emergency Fund,Wealth Creation,1740913.06,2024-03-31
7196,Emergency Fund,Income,234408.8,2025-07-06
7196,Global Equity,Education,3769734.14,2025-10-13
7015,Aggressive Growth,Income,2813828.35,2022-09-28
7015,Global Equity,Income,591734.27,2025-02-08
7015,Long Term Growth,Retirement,4967700.3,2024-10-07
7015,Education Fund,Wealth Creation,3055712.33,2023-01-30
3130,Global Equity,Wealth Creation,3939665.88,2022-08-06
3130,Aggressive Growth,Wealth Creation,4420782.85,2024-10-15
3130,Aggressive Growth,Retirement,1196899.87,2021-09-23
3130,Emergency Fund,Income,3851888.84,2020-01-22
4983,Aggressive Growth,Wealth Creation,3760455.18,2025-11-24
4726,Global Equity,Retirement,2924884.49,2022-10-03
4726,Balanced Portfolio,Wealth Creation,2654828.62,2021-03-27
5866,Balanced Portfolio,Income,354722.13,2020-09-09
5866,Balanced Portfolio,Tax Saving,259718.15,2020-11-12
5346,Global Equity,Income,381988.86,2023-01-01
5346,Wealth Creation,Tax Saving,2239589.57,2022-11-27
5346,Tax Saving,Income,3692703.37,2021-09-04
5346,Tax Saving,Education,4962458.33,2022-09-16
3556,Dividend Income,Capital Appreciation,3269360.04,2020-07-16
7676,Aggressive Growth,Wealth Creation,1598800.16,2025-10-11
7676,Education Fund,Wealth Creation,1394015.82,2022-01-30
7676,Global Equity,Retirement,1068186.69,2020-06-21
4228,Education Fund,Wealth Creation,4109571.46,2023-09-04
4228,Education Fund,Retirement,4245022.67,2020-11-29
4228,Wealth Creation,Capital Appreciation,2052638.59,2020-04-03
6552,Education Fund,Wealth Creation,1481573.64,2024-04-08
6552,Retirement Portfolio,Tax Saving,2583255.84,2022-01-03
6552,Aggressive Growth,Education,2816020.85,2020-09-20
5008,Dividend Income,Income,2216636.42,2019-08-15
5008,Balanced Portfolio,Tax Saving,2380302.29,2019-11-05
5008,Tax Saving,Wealth Creation,285612.3,2024-12-20
5008,Balanced Portfolio,Education,1595901.06,2023-10-24
5958,Emergency Fund,Wealth Creation,3278826.01,2019-02-11
5958,Dividend Income,Retirement,2586822.55,2024-08-09
5958,Wealth Creation,Capital Appreciation,2278016.3,2024-08-25
4245,Long Term Growth,Education,1886200.83,2025-02-12
4245,Emergency Fund,Retirement,3049158.78,2024-01-24
4245,Balanced Portfolio,Retirement,4099659.08,2020-06-27
3664,Balanced Portfolio,Tax Saving,3940103.57,2019-01-21
3664,Wealth Creation,Income,1052878.16,2022-09-09
3664,Long Term Growth,Education,1755805.08,2020-02-27
6717,Dividend Income,Income,644695.52,2023-06-21
6717,Dividend Income,Tax Saving,4000675.34,2021-07-27
6435,Emergency Fund,Income,2740709.4,2025-04-23
6435,Emergency Fund,Retirement,3076442.25,2025-03-24
6435,Dividend Income,Tax Saving,3496573.71,2024-03-27
6877,Emergency Fund,Wealth Creation,2747876.61,2025-01-04
6877,Balanced Portfolio,Wealth Creation,1916386.0,2024-08-26
6877,Global Equity,Retirement,4760531.46,2020-09-11
6877,Retirement Portfolio,Tax Saving,2764250.19,2021-12-05
5747,Dividend Income,Income,3275472.15,2022-01-14
5747,Emergency Fund,Retirement,833908.77,2019-07-02
5747,Tax Saving,Wealth Creation,465132.36,2026-05-24
6548,Emergency Fund,Education,4348281.22,2024-05-11
6548,Retirement Portfolio,Capital Appreciation,1866317.78,2019-11-27
5939,Emergency Fund,Retirement,347237.37,2020-01-21
5939,Education Fund,Tax Saving,2633329.87,2020-11-24
4004,Wealth Creation,Tax Saving,2547985.53,2022-07-04
4004,Education Fund,Education,2739507.24,2019-09-02
3523,Education Fund,Income,4224935.05,2022-12-28
3143,Tax Saving,Education,2670398.5,2019-02-15
3143,Dividend Income,Wealth Creation,2675584.77,2020-11-02
3143,Balanced Portfolio,Education,889130.67,2025-01-21
3079,Wealth Creation,Capital Appreciation,1751653.31,2026-05-28
7459,Retirement Portfolio,Tax Saving,3183480.64,2021-11-04
7459,Dividend Income,Capital Appreciation,4403247.52,2023-06-04
7459,Education Fund,Education,4517654.1,2022-05-22
4765,Tax Saving,Tax Saving,440922.73,2025-08-04
4765,Emergency Fund,Retirement,1493169.28,2025-04-05
5833,Long Term Growth,Wealth Creation,1171350.07,2023-07-01
5833,Aggressive Growth,Education,2926076.33,2025-09-12
5355,Retirement Portfolio,Wealth Creation,1644203.35,2019-07-30
5355,Long Term Growth,Wealth Creation,4669059.8,2022-10-20
5477,Global Equity,Income,500616.83,2024-12-13
5477,Aggressive Growth,Income,482444.9,2022-04-02
5477,Tax Saving,Income,3946542.2,2022-01-10
5477,Wealth Creation,Education,4713224.53,2019-10-08
5056,Wealth Creation,Capital Appreciation,1485112.21,2023-02-13
5056,Wealth Creation,Capital Appreciation,1001541.06,2020-09-30
3775,Dividend Income,Tax Saving,2617332.44,2025-12-05
3775,Long Term Growth,Education,4652564.52,2025-07-26
3775,Tax Saving,Retirement,1643048.58,2023-06-01
7744,Tax Saving,Education,1749929.14,2020-08-05
4328,Emergency Fund,Tax Saving,4460279.17,2022-10-29
4328,Education Fund,Income,4707070.97,2026-06-29
4328,Emergency Fund,Wealth Creation,2755357.61,2022-08-12
2993,Retirement Portfolio,Tax Saving,3527797.43,2020-12-25
6750,Wealth Creation,Income,242361.0,2020-09-01
6750,Wealth Creation,Capital Appreciation,968563.1,2022-10-30
6750,Education Fund,Capital Appreciation,4310705.25,2023-01-10
6750,Global Equity,Retirement,2536478.49,2022-11-17
7577,Emergency Fund,Retirement,4870619.92,2022-08-23
7577,Tax Saving,Retirement,2287970.38,2026-01-06
7577,Wealth Creation,Capital Appreciation,2106026.38,2023-04-08
5839,Tax Saving,Retirement,4061904.89,2019-01-28
5839,Global Equity,Wealth Creation,128003.44,2025-05-26
5839,Aggressive Growth,Tax Saving,1740178.74,2022-11-02
7527,Wealth Creation,Education,2629872.73,2023-12-22
4534,Wealth Creation,Wealth Creation,2751881.27,2020-04-16
4534,Education Fund,Education,4600232.06,2023-12-14
5871,Tax Saving,Tax Saving,1289474.82,2023-03-07
5871,Long Term Growth,Education,1085123.8,2025-08-04
5871,Dividend Income,Income,1364572.86,2022-10-18
5871,Global Equity,Tax Saving,2875568.32,2023-10-13
5229,Balanced Portfolio,Capital Appreciation,1522720.02,2019-10-17
5229,Retirement Portfolio,Education,1375463.22,2025-05-05
5229,Balanced Portfolio,Tax Saving,529851.58,2019-06-17
5229,Aggressive Growth,Wealth Creation,1422045.34,2024-06-02
4648,Retirement Portfolio,Tax Saving,3027723.36,2022-11-03
4648,Long Term Growth,Retirement,4513201.42,2026-04-16
4648,Emergency Fund,Income,2201627.48,2018-08-17
3608,Dividend Income,Wealth Creation,3358166.02,2024-08-01
5351,Aggressive Growth,Income,4734949.43,2026-02-03
5351,Retirement Portfolio,Retirement,2873020.35,2024-07-25
5351,Dividend Income,Income,4210107.94,2021-11-25
5164,Wealth Creation,Tax Saving,1952822.4,2025-03-21
5164,Tax Saving,Tax Saving,1190261.71,2022-07-08
5164,Balanced Portfolio,Wealth Creation,2680684.09,2024-04-21
4134,Retirement Portfolio,Retirement,3373678.73,2025-07-27
4134,Dividend Income,Tax Saving,2617972.79,2023-08-30
7660,Global Equity,Income,3684381.69,2025-08-24
7660,Retirement Portfolio,Education,3605572.75,2023-02-23
7660,Retirement Portfolio,Capital Appreciation,114918.53,2019-01-28
6074,Global Equity,Tax Saving,2147703.17,2024-12-26
6074,Wealth Creation,Wealth Creation,4380298.68,2023-12-29
6074,Global Equity,Income,3359241.53,2024-07-22
6074,Global Equity,Wealth Creation,1706650.49,2024-05-05
4635,Tax Saving,Capital Appreciation,2863176.81,2020-12-11
4635,Balanced Portfolio,Tax Saving,4380744.11,2018-11-11
4635,Education Fund,Education,1421758.45,2021-06-24
6647,Aggressive Growth,Income,4835922.01,2024-01-14
5894,Balanced Portfolio,Retirement,3796014.13,2021-08-17
5894,Retirement Portfolio,Wealth Creation,130758.39,2018-08-07
5894,Aggressive Growth,Capital Appreciation,2125977.07,2018-10-30
5894,Aggressive Growth,Income,1298365.58,2019-03-14
4169,Emergency Fund,Wealth Creation,4345872.32,2024-06-11
4169,Global Equity,Education,4177098.48,2024-11-05
6125,Tax Saving,Education,2940045.55,2019-08-14
6125,Wealth Creation,Capital Appreciation,3150042.6,2019-10-18
6125,Global Equity,Income,150681.73,2022-10-05
7007,Aggressive Growth,Education,1173723.71,2022-03-04
7007,Education Fund,Capital Appreciation,1608276.79,2021-08-10
7007,Tax Saving,Income,1302906.06,2024-11-23
5666,Tax Saving,Retirement,1075740.07,2026-03-06
5666,Balanced Portfolio,Wealth Creation,4686203.31,2019-11-18
5666,Wealth Creation,Tax Saving,2850761.38,2023-05-31
5694,Aggressive Growth,Tax Saving,1764647.46,2019-04-02
5694,Emergency Fund,Education,842595.87,2019-10-13
5694,Education Fund,Education,4146587.88,2023-09-07
5694,Wealth Creation,Tax Saving,4750771.31,2020-09-02
3583,Education Fund,Income,2015973.66,2020-12-29
3586,Dividend Income,Education,2114328.1,2025-01-10
3586,Wealth Creation,Income,3345963.32,2018-10-17
3586,Balanced Portfolio,Income,466710.32,2019-10-09
7214,Tax Saving,Retirement,3374193.09,2019-10-24
7214,Tax Saving,Education,1079695.42,2018-08-29
7214,Retirement Portfolio,Income,843727.78,2025-10-10
7214,Tax Saving,Capital Appreciation,4571724.87,2024-01-21
