portfolio_id,asset_id,quantity,average_purchase_price,purchase_date
9,970,18,234.67,2024-12-15
9,508,190,647.62,2023-05-17
9,965,459,359.43,2025-02-13
9,788,100,975.95,2021-12-16
9,865,226,908.51,2023-10-14
10,867,88,512.3,2026-06-08
10,808,175,661.24,2022-10-06
10,842,226,549.04,2021-07-22
10,614,155,145.12,2021-11-19
10,644,406,480.71,2025-10-22
10,883,180,113.09,2023-07-04
10,890,286,879.01,2025-10-09
10,839,204,932.56,2025-02-17
10,751,278,112.48,2025-07-26
10,968,116,412.48,2023-04-22
10,552,61,312.16,2024-03-08
10,816,393,28.27,2023-07-21
10,553,14,280.06,2024-02-24
10,887,120,179.84,2022-09-09
11,776,100,973.05,2023-04-08
11,527,145,384.71,2026-03-18
11,637,116,501.12,2024-05-09
11,816,148,550.35,2023-08-03
11,954,410,687.92,2025-12-14
11,889,473,83.18,2023-10-29
12,711,486,631.7,2022-07-12
12,699,324,733.82,2025-04-21
12,791,371,478.19,2022-05-09
12,765,350,185.81,2023-01-08
12,643,36,59.39,2025-01-25
12,659,53,522.49,2025-05-19
12,581,314,198.16,2021-10-04
12,593,58,146.28,2022-08-14
12,563,172,823.21,2024-05-04
12,568,300,804.5,2024-03-07
12,701,371,96.81,2026-04-08
12,520,160,681.51,2023-06-25
12,573,279,89.3,2025-06-15
12,873,374,140.44,2022-10-31
13,732,302,72.01,2023-05-12
13,742,319,459.92,2024-09-16
13,783,177,256.49,2026-01-02
13,694,431,116.58,2022-09-19
13,977,212,552.63,2023-09-17
13,955,466,43.71,2024-01-15
13,632,182,947.42,2024-06-21
13,744,402,644.71,2024-03-12
13,522,185,382.1,2023-11-23
13,654,80,954.16,2022-06-05
13,526,48,387.95,2022-11-22
13,970,38,23.46,2022-09-20
13,769,15,931.54,2025-01-30
13,928,285,129.19,2024-06-23
14,861,76,100.61,2022-12-05
14,832,23,147.05,2023-08-29
14,721,418,421.87,2022-08-17
14,858,412,50.77,2025-05-13
14,559,488,217.17,2025-02-13
14,742,109,150.74,2021-11-30
14,795,177,437.62,2023-09-08
14,542,145,371.88,2025-01-09
14,910,321,81.03,2024-01-25
14,948,304,300.55,2024-04-07
14,790,191,200.24,2022-09-10
14,784,123,341.41,2023-09-05
14,963,408,897.4,2023-10-18
14,891,415,336.0,2025-03-13
14,580,463,640.37,2024-10-03
15,617,161,903.77,2023-12-11
15,875,140,540.98,2021-10-20
15,826,357,596.88,2021-10-16
15,1003,255,834.76,2023-02-16
15,982,281,320.93,2025-10-18
15,725,179,684.95,2025-09-12
15,784,230,356.19,2022-12-12
15,805,157,804.67,2023-07-23
15,734,50,116.31,2025-04-17
15,762,391,532.3,2025-11-12
15,807,195,59.27,2022-07-20
15,776,366,177.64,2025-10-29
15,561,475,992.11,2025-05-09
16,646,249,844.94,2022-03-25
16,713,112,255.16,2023-07-11
16,523,50,219.42,2024-02-25
16,1002,227,137.83,2024-08-28
16,920,266,328.07,2023-04-04
16,964,125,166.69,2021-11-18
16,798,50,828.82,2021-11-25
16,588,31,610.3,2024-07-06
16,862,123,806.4,2022-12-21
16,852,119,389.32,2026-06-25
16,813,144,767.36,2025-08-26
16,979,28,133.84,2026-05-28
17,604,100,244.05,2022-08-24
17,850,289,111.4,2023-09-02
17,793,402,514.85,2023-12-24
17,676,181,219.19,2022-01-25
17,879,47,107.33,2023-11-02
17,581,232,293.67,2022-06-07
17,584,167,184.39,2025-02-01
17,935,306,933.53,2021-11-01
17,752,100,88.9,2024-07-04
17,950,99,486.88,2023-04-06
17,787,34,296.58,2026-02-25
17,777,447,559.2,2026-04-08
18,859,445,179.36,2022-11-26
18,714,51,193.04,2025-08-15
18,780,389,760.47,2023-12-07
18,875,31,135.01,2025-05-03
18,669,98,844.01,2024-04-15
18,930,453,264.51,2025-11-07
18,684,326,923.04,2025-10-07
18,697,418,26.5,2025-08-14
18,857,83,451.73,2025-12-10
18,647,439,269.09,2024-08-29
18,970,373,921.01,2023-04-06
19,966,435,295.33,2021-12-15
19,557,239,663.38,2022-03-13
19,832,275,576.39,2025-08-24
19,763,257,516.61,2021-09-21
19,677,112,440.57,2023-07-25
19,906,292,207.52,2023-12-31
19,715,174,816.2,2023-11-01
19,749,493,867.24,2024-12-25
19,594,216,370.5,2026-05-30
19,854,449,734.39,2025-12-24
19,610,392,875.43,2023-04-10
19,941,365,633.73,2023-08-19
19,573,485,181.18,2024-06-14
19,955,385,823.59,2025-08-11
19,560,19,336.84,2024-03-23
20,723,87,337.99,2026-06-13
20,805,497,231.39,2024-02-25
20,574,17,831.0,2024-03-22
20,890,397,629.49,2022-06-09
20,987,279,640.63,2021-12-03
20,610,118,639.28,2025-02-12
20,554,283,43.38,2025-05-25
20,846,259,343.67,2022-11-01
20,650,122,131.29,2022-01-15
20,827,183,909.03,2021-09-13
20,892,394,255.93,2023-08-08
21,771,156,652.82,2024-06-19
21,842,165,684.26,2022-11-10
21,938,451,497.7,2022-08-28
21,785,348,515.02,2023-03-02
21,811,150,100.26,2021-08-20
21,869,342,430.62,2024-12-04
21,813,387,653.06,2022-07-01
21,636,435,253.89,2023-06-08
21,620,87,617.14,2026-03-29
21,579,382,877.68,2021-09-15
21,981,84,587.8,2024-09-29
21,838,266,849.07,2022-07-31
21,681,221,342.87,2023-12-29
21,850,477,463.95,2026-03-04
22,875,418,34.59,2025-01-08
22,732,454,194.75,2024-02-05
22,524,370,143.74,2023-10-20
22,710,483,800.18,2025-03-09
22,934,77,756.89,2023-07-25
22,801,433,909.47,2024-07-09
22,739,486,802.13,2021-12-23
22,973,111,174.49,2025-12-30
22,996,476,780.95,2022-04-07
22,532,471,393.5,2023-01-30
23,990,335,364.78,2026-05-24
23,672,22,449.36,2026-02-06
23,652,239,354.64,2024-01-22
23,517,403,941.31,2025-10-02
23,538,65,679.11,2023-10-14
23,509,139,564.82,2024-07-20
23,1002,76,309.04,2022-05-29
23,981,458,614.88,2023-09-28
23,988,236,200.78,2025-08-12
23,917,177,505.71,2026-01-21
23,894,338,473.77,2026-03-11
23,881,483,766.34,2021-07-13
23,890,179,667.3,2024-11-10
23,934,247,803.55,2021-12-04
24,985,485,858.5,2023-02-04
24,971,471,825.63,2025-11-17
24,642,293,965.82,2024-08-27
24,714,368,782.85,2022-10-14
24,579,281,990.2,2023-01-25
24,902,308,747.65,2024-09-07
24,967,168,839.31,2025-09-21
24,888,420,722.84,2021-11-30
24,547,276,418.26,2022-09-01
24,798,247,668.46,2023-04-30
25,614,389,221.38,2025-09-03
25,891,357,845.92,2022-08-21
25,684,377,665.1,2025-01-28
25,717,82,304.54,2023-07-01
25,963,234,640.28,2022-04-21
25,880,304,769.61,2022-08-12
25,926,25,894.38,2021-07-26
25,886,218,557.94,2022-04-12
25,534,359,850.78,2024-11-26
25,831,462,276.15,2021-10-07
25,591,471,499.51,2025-07-12
25,744,495,484.34,2024-03-01
26,609,156,152.03,2021-08-07
26,932,53,421.31,2025-05-13
26,700,481,150.66,2023-11-21
26,795,480,422.85,2023-10-15
26,597,405,207.91,2022-06-22
27,912,206,230.23,2023-09-13
27,1004,73,550.21,2026-01-16
27,895,122,603.96,2022-01-16
27,823,485,929.32,2023-05-11
27,551,201,490.04,2026-07-06
27,537,266,205.26,2026-02-18
27,855,374,856.48,2022-02-08
27,884,395,372.56,2023-04-01
27,573,294,861.8,2021-08-31
27,615,438,682.95,2025-12-03
27,698,114,606.64,2026-04-25
27,512,143,645.63,2022-06-21
27,649,275,482.32,2022-06-09
27,846,268,128.95,2025-07-20
27,737,215,801.49,2021-12-31
28,659,73,363.17,2022-11-16
28,791,446,719.88,2024-12-03
28,843,370,746.51,2021-12-18
28,771,21,697.99,2021-07-30
28,703,128,603.47,2024-05-15
28,621,27,154.93,2023-01-24
28,881,242,56.16,2025-12-06
28,556,173,828.7,2022-06-29
28,521,428,91.9,2021-08-18
29,515,149,353.08,2023-05-24
29,533,125,651.09,2022-06-05
29,876,10,805.31,2023-07-11
29,993,286,767.29,2024-07-20
29,820,137,711.69,2022-03-25
29,536,466,664.2,2023-06-21
29,714,361,449.52,2024-06-10
29,705,50,980.41,2024-12-13
29,1006,228,659.35,2023-12-05
30,871,271,722.55,2026-03-25
30,599,403,966.87,2024-08-18
30,509,388,168.64,2022-11-01
30,905,414,923.76,2022-05-08
30,514,98,328.45,2024-04-06
30,628,132,542.82,2026-06-16
31,719,53,628.4,2023-11-28
31,934,440,162.72,2026-04-05
31,737,227,857.13,2026-05-19
31,603,53,306.41,2021-07-20
31,975,480,211.26,2023-11-18
31,590,456,432.69,2022-07-20
31,670,95,380.67,2023-08-09
31,811,376,740.62,2024-03-01
31,640,73,233.64,2022-11-04
31,772,300,224.38,2023-08-25
31,541,174,157.79,2025-09-26
31,528,262,695.03,2022-04-02
32,966,29,61.87,2022-11-08
32,516,285,821.74,2024-12-25
32,719,497,939.67,2022-01-19
32,543,322,132.54,2021-11-06
32,518,60,70.11,2022-05-19
32,693,197,517.67,2023-08-22
32,981,466,674.4,2026-02-20
32,810,77,649.23,2022-07-24
32,816,88,685.17,2022-04-24
32,799,43,382.01,2022-05-21
32,925,224,632.67,2023-04-10
32,603,78,284.35,2024-10-15
33,604,211,57.66,2023-12-06
33,710,232,434.24,2022-03-10
33,611,160,716.94,2024-07-06
33,606,102,869.46,2024-09-28
33,578,200,153.09,2022-04-01
33,876,399,223.46,2021-07-28
33,808,19,900.37,2025-11-13
33,994,395,85.44,2022-03-23
34,537,197,471.9,2024-07-20
34,586,25,582.12,2025-02-15
34,850,320,951.34,2024-11-09
34,750,419,539.63,2025-05-10
34,951,23,591.27,2022-09-01
34,950,131,88.48,2026-05-07
34,930,450,586.04,2024-09-19
34,512,60,514.83,2022-11-04
34,559,61,915.93,2026-05-21
34,764,333,748.87,2026-05-31
34,576,164,950.09,2022-12-25
34,984,459,182.83,2025-04-16
34,1005,57,893.81,2022-11-26
35,632,177,716.42,2023-10-23
35,741,353,780.05,2024-09-27
35,968,374,287.78,2022-04-07
35,541,231,439.68,2025-11-22
35,680,245,582.36,2025-04-27
35,992,221,725.4,2021-08-19
35,914,205,889.86,2024-10-28
35,646,312,350.84,2025-11-22
35,1007,147,858.69,2024-12-22
35,751,125,864.13,2023-05-08
36,957,463,558.02,2023-10-13
36,556,10,842.33,2026-02-17
36,709,27,711.25,2022-03-29
36,983,275,110.67,2021-07-28
36,987,381,863.33,2022-10-20
36,688,496,604.77,2023-07-17
36,587,221,199.29,2026-06-24
36,971,285,574.39,2025-11-23
36,1003,306,660.63,2021-10-25
36,769,123,243.22,2022-01-11
36,863,311,915.16,2024-10-30
36,721,65,978.17,2026-01-29
36,561,276,962.84,2021-08-03
37,505,464,878.4,2022-02-27
37,568,394,522.27,2026-06-03
37,602,209,897.4,2024-01-24
37,511,422,126.42,2025-12-31
37,544,176,121.01,2024-07-30
37,842,380,528.74,2024-01-11
37,851,158,272.13,2025-10-06
37,991,320,535.24,2025-05-08
37,591,75,401.63,2024-02-16
37,686,396,715.57,2026-05-28
37,635,321,322.69,2023-10-18
38,697,255,758.74,2024-10-03
38,883,98,207.5,2024-11-08
38,592,133,216.75,2023-11-06
38,982,143,983.24,2023-11-01
38,880,287,662.06,2026-04-19
38,831,336,779.8,2022-09-11
38,999,278,926.69,2022-08-16
38,760,168,845.79,2026-01-31
38,895,218,761.66,2026-02-06
38,671,323,590.71,2024-02-07
39,637,225,846.43,2025-08-15
39,551,474,705.37,2024-05-22
39,964,28,791.37,2026-06-23
39,864,128,83.96,2024-02-07
39,740,303,383.67,2023-03-29
39,511,332,98.88,2023-12-22
39,603,372,952.22,2026-03-29
39,582,269,719.74,2024-05-09
40,954,71,903.39,2024-08-28
40,822,328,974.14,2021-12-25
40,956,298,526.84,2025-05-26
40,557,177,862.52,2022-11-05
40,665,21,700.56,2022-08-13
40,808,397,721.45,2025-11-04
40,786,22,776.85,2025-11-12
40,831,285,720.14,2026-01-21
40,681,247,37.78,2022-06-05
40,965,56,262.94,2023-10-19
40,604,456,463.74,2023-10-30
41,666,373,254.15,2024-05-25
41,513,309,312.48,2024-04-26
41,810,185,934.82,2022-03-16
41,967,426,87.35,2023-01-24
41,718,44,83.44,2023-06-04
41,776,405,398.82,2023-12-15
41,630,75,452.8,2023-01-13
41,844,288,867.95,2024-09-12
41,880,472,807.91,2021-11-17
41,777,331,507.86,2023-12-28
41,957,148,467.08,2025-08-20
41,656,54,131.34,2026-03-06
41,986,110,769.23,2021-11-28
41,598,21,60.45,2022-06-18
41,870,270,429.85,2024-09-22
42,784,406,498.92,2025-11-26
42,664,356,515.19,2023-12-21
42,622,397,297.69,2026-05-22
42,525,293,324.81,2022-04-05
42,577,418,544.34,2022-08-08
42,713,25,354.47,2023-03-28
42,845,415,585.02,2024-08-01
43,801,17,268.01,2024-08-09
43,758,102,736.88,2024-04-16
43,625,111,723.15,2022-06-01
43,614,395,926.37,2023-05-26
43,727,469,525.44,2022-12-07
43,966,292,494.85,2025-03-14
43,988,155,831.03,2026-04-04
43,891,397,593.39,2022-04-25
43,762,451,566.89,2022-11-17
44,663,257,994.07,2024-02-10
44,745,163,407.6,2024-01-10
44,561,35,745.96,2023-08-06
44,874,14,249.61,2023-05-22
44,983,368,377.29,2025-11-27
44,908,53,539.51,2023-12-12
44,823,327,119.24,2024-07-19
44,603,171,942.46,2026-04-14
44,629,476,466.62,2025-10-05
44,954,184,281.46,2023-06-16
44,675,500,65.05,2024-06-26
44,551,226,860.18,2022-12-14
44,599,231,871.43,2024-12-21
44,1007,277,572.1,2022-07-25
44,667,262,766.03,2024-01-09
45,822,189,895.99,2023-11-19
45,978,85,523.64,2026-01-26
45,768,273,360.49,2023-10-24
45,787,163,672.72,2022-08-29
45,603,243,161.11,2026-06-01
45,700,278,566.04,2024-04-05
45,629,461,55.86,2022-02-09
45,903,362,71.56,2023-02-06
45,962,376,454.95,2024-02-05
45,846,374,353.91,2024-06-23
45,1002,79,769.9,2025-12-25
45,823,95,274.77,2024-06-21
45,649,338,855.64,2023-10-24
46,621,226,375.69,2023-04-05
46,648,437,670.72,2026-04-14
46,684,314,684.13,2021-12-26
46,564,407,837.44,2024-02-20
46,676,165,707.66,2026-01-10
46,923,184,568.41,2023-12-28
47,837,174,480.61,2024-01-19
47,930,485,854.12,2022-04-30
47,952,78,525.93,2022-09-16
47,988,469,324.27,2026-05-26
47,664,460,886.8,2022-11-10
47,634,494,365.3,2026-01-08
47,981,430,657.73,2022-12-03
47,514,296,690.21,2024-03-22
47,984,454,52.78,2024-09-27
47,842,250,46.48,2024-12-24
47,890,478,529.13,2022-12-24
47,681,235,938.63,2024-06-02
47,777,429,989.37,2022-01-17
47,835,203,185.92,2021-12-25
48,997,467,283.6,2024-04-25
48,682,429,659.43,2025-04-21
48,554,65,973.12,2025-11-24
48,652,101,715.5,2023-09-18
48,744,109,187.77,2025-02-20
48,671,340,431.02,2021-10-13
49,507,149,659.86,2024-03-25
49,614,30,945.97,2022-12-11
49,897,427,512.99,2023-06-06
49,808,431,123.32,2024-05-06
49,973,227,464.13,2023-12-30
50,680,101,998.7,2023-12-03
50,873,338,576.91,2026-04-19
50,613,411,966.29,2023-06-05
50,661,486,450.18,2024-07-03
50,939,97,428.11,2021-12-06
50,717,106,580.09,2022-02-07
50,572,104,738.47,2025-06-28
50,996,269,369.38,2025-09-19
51,806,32,970.8,2025-11-19
51,905,298,605.03,2021-11-15
51,963,24,170.43,2022-10-16
51,782,119,410.29,2024-01-23
51,582,375,359.49,2024-03-17
51,860,399,326.95,2025-11-02
51,702,69,615.14,2025-10-09
51,719,404,204.98,2022-07-31
51,713,260,169.02,2021-12-17
51,681,345,260.5,2022-04-16
51,879,84,515.28,2021-09-11
51,733,315,540.39,2024-01-30
51,864,120,804.91,2026-02-27
51,530,259,918.6,2025-05-14
52,518,164,178.08,2024-10-03
52,996,405,892.25,2025-02-25
52,909,391,486.92,2022-05-04
52,648,283,758.75,2023-11-28
52,952,127,694.2,2023-09-11
52,553,149,206.65,2021-08-18
52,791,45,332.31,2025-09-12
52,744,285,577.86,2022-06-21
53,855,310,572.08,2026-01-08
53,734,86,323.67,2022-10-17
53,823,489,887.43,2022-01-17
53,758,450,228.2,2025-08-21
53,910,423,797.48,2023-07-01
53,690,366,406.67,2024-12-26
53,860,149,833.0,2023-03-23
53,780,53,592.82,2025-08-06
53,993,274,266.61,2025-01-26
53,889,189,405.12,2021-09-20
53,752,253,866.07,2024-05-27
53,747,296,380.15,2023-10-07
53,777,154,73.54,2024-09-28
53,525,141,987.5,2026-01-06
53,659,31,835.75,2024-06-11
54,618,452,948.54,2026-06-16
54,862,189,250.1,2023-12-14
54,818,453,343.55,2025-11-05
54,883,410,931.39,2022-06-19
54,935,269,100.44,2022-11-29
54,907,207,642.17,2021-11-20
55,917,254,135.13,2022-02-05
55,819,103,995.04,2022-04-22
55,538,314,111.4,2025-03-30
55,741,98,396.21,2026-07-04
55,856,266,528.8,2022-05-03
55,995,71,455.03,2024-08-29
55,699,134,401.17,2021-09-22
56,763,256,382.04,2024-02-05
56,790,139,187.77,2025-01-15
56,948,408,261.26,2022-12-21
56,799,164,271.58,2026-06-25
56,867,45,771.57,2026-07-06
56,653,202,992.76,2025-06-26
56,518,96,485.58,2025-04-07
56,547,343,283.64,2024-04-28
56,940,124,393.18,2021-07-16
56,703,452,844.7,2022-09-17
56,871,448,409.88,2023-02-15
56,982,363,744.37,2021-10-12
57,622,40,732.73,2025-01-18
57,746,97,769.55,2025-02-09
57,712,329,64.24,2024-10-07
57,620,19,808.84,2025-07-11
57,840,29,328.27,2024-04-14
57,539,414,796.8,2025-12-18
57,650,459,856.22,2024-09-03
57,714,365,854.83,2026-04-30
58,832,271,832.25,2025-07-20
58,685,396,883.74,2022-08-04
58,841,98,291.86,2022-01-28
58,567,369,623.76,2023-07-23
58,726,152,199.88,2024-01-23
58,705,126,748.98,2024-08-16
59,540,229,268.9,2024-06-21
59,532,66,959.46,2023-11-10
59,854,222,671.87,2024-08-03
59,726,461,105.17,2022-12-21
59,787,281,245.55,2024-10-14
59,575,445,357.37,2023-07-17
59,913,107,359.09,2025-12-23
59,895,150,26.46,2022-10-12
59,751,73,290.02,2026-02-21
60,972,366,786.74,2022-06-29
60,681,352,401.65,2023-09-23
60,675,465,357.75,2022-04-20
60,938,199,531.38,2026-05-04
60,518,44,153.81,2026-05-10
60,826,200,673.2,2024-10-07
60,653,155,576.82,2026-03-31
60,901,196,386.99,2021-12-12
60,578,163,489.81,2022-01-18
60,861,146,474.15,2023-03-26
61,794,155,242.52,2022-04-02
61,734,169,222.7,2025-01-24
61,811,17,87.21,2025-06-16
61,656,85,488.44,2026-03-07
61,583,236,797.54,2023-01-05
61,978,471,952.47,2025-10-18
61,676,500,934.81,2023-02-16
61,670,245,579.06,2023-10-24
62,904,382,688.23,2024-06-15
62,720,97,814.64,2022-06-29
62,747,44,816.5,2024-11-04
62,914,22,272.88,2023-06-13
62,901,458,630.21,2024-02-17
62,713,21,180.99,2026-01-26
62,740,312,232.53,2021-07-19
62,685,408,78.69,2023-08-24
62,517,429,588.39,2022-06-17
62,522,358,167.24,2024-10-07
62,655,22,83.4,2021-09-16
62,584,80,129.87,2022-06-29
62,738,225,120.19,2023-12-28
62,932,88,265.68,2022-11-14
62,957,237,704.64,2021-07-17
63,747,224,327.72,2021-09-17
63,890,400,325.24,2022-11-27
63,816,204,158.97,2023-10-28
63,970,63,663.75,2021-12-16
63,613,377,737.85,2026-04-22
63,587,326,677.95,2022-06-16
64,824,489,688.52,2025-08-05
64,900,214,922.64,2022-07-20
64,825,267,502.22,2021-10-01
64,908,354,322.71,2025-08-31
64,513,413,395.05,2024-02-02
64,749,79,625.2,2022-10-29
64,720,142,360.38,2024-07-16
64,546,73,576.3,2024-07-05
64,907,443,893.1,2026-03-10
64,884,113,983.19,2021-09-01
64,630,29,979.84,2022-01-02
64,896,93,502.83,2025-05-11
65,786,499,732.96,2025-11-08
65,775,37,388.29,2024-02-11
65,729,212,471.51,2024-02-08
65,581,352,93.44,2025-06-10
65,596,277,849.62,2025-01-06
65,850,81,330.39,2023-08-12
65,954,331,340.97,2022-08-12
65,549,366,32.34,2023-03-17
65,938,450,618.11,2025-05-05
65,867,256,813.34,2022-07-07
65,899,94,500.6,2025-03-08
65,592,381,409.64,2026-03-21
65,874,162,412.47,2023-03-20
65,743,496,696.04,2025-05-08
65,512,254,972.22,2024-08-03
66,956,403,499.28,2025-12-21
66,780,57,252.16,2022-05-10
66,694,318,150.21,2026-04-01
66,678,289,738.96,2023-09-16
66,892,19,791.62,2022-12-20
66,576,203,962.88,2026-02-06
66,665,62,618.54,2022-10-18
66,777,468,646.13,2021-11-10
66,972,192,533.71,2022-03-05
66,606,430,627.42,2025-10-31
67,840,426,167.65,2025-06-20
67,851,361,22.82,2026-02-14
67,877,431,529.03,2024-10-18
67,719,375,227.78,2023-05-24
67,632,44,459.81,2025-03-10
67,969,424,425.52,2025-10-28
68,1001,158,428.15,2026-01-24
68,709,368,329.36,2025-12-29
68,655,154,591.61,2024-06-04
68,954,198,224.95,2023-10-04
68,691,368,903.77,2023-10-26
68,869,112,40.47,2021-09-06
68,848,497,746.39,2022-07-03
68,944,85,592.96,2022-11-11
68,986,65,301.65,2023-10-02
68,919,352,256.14,2024-04-12
68,867,347,757.03,2025-03-09
68,970,176,469.9,2026-02-05
68,957,399,693.58,2023-12-18
68,685,223,542.99,2021-09-04
68,871,291,671.84,2025-12-29
69,909,419,460.55,2021-08-14
69,995,456,240.03,2026-06-22
69,904,453,682.06,2024-03-01
69,651,435,452.33,2023-03-12
69,645,80,349.58,2022-09-23
69,848,113,484.1,2024-01-31
70,566,375,983.12,2025-05-24
70,814,19,284.68,2025-05-14
70,973,32,409.05,2023-07-27
70,636,55,928.44,2026-01-23
70,603,45,675.98,2022-05-30
70,905,17,637.8,2024-08-15
70,968,124,636.11,2021-10-04
70,745,166,970.37,2025-01-26
70,952,468,835.12,2024-05-30
71,510,138,769.56,2024-02-13
71,845,194,236.85,2022-01-02
71,573,330,477.53,2022-06-22
71,632,406,712.35,2023-08-26
71,880,125,432.84,2021-10-03
71,874,296,279.0,2021-10-29
71,518,138,300.69,2021-07-12
71,961,265,555.24,2024-10-26
71,971,32,100.08,2025-06-08
71,559,103,280.68,2023-06-21
72,794,386,844.14,2022-03-07
72,1005,303,770.28,2025-12-11
72,625,229,855.36,2022-02-16
72,562,66,82.85,2022-01-30
72,705,300,167.85,2021-08-20
72,969,242,530.66,2025-03-01
72,979,304,277.55,2024-03-15
72,597,413,781.93,2025-04-08
72,596,140,892.76,2023-05-29
72,771,71,234.59,2025-01-29
72,576,299,906.04,2025-07-19
73,856,86,429.47,2024-06-08
73,867,451,70.09,2025-05-10
73,936,383,953.39,2024-08-12
73,528,70,300.89,2026-06-05
73,833,299,557.5,2024-01-17
73,776,313,394.42,2026-06-01
73,763,63,134.77,2021-09-03
74,528,205,738.3,2024-07-23
74,679,40,40.8,2023-12-25
74,822,24,393.79,2022-11-11
74,823,236,75.26,2024-12-10
74,848,285,251.42,2024-02-15
74,667,124,603.92,2024-08-01
74,703,258,451.39,2022-01-09
75,628,455,955.74,2025-08-03
75,631,475,89.62,2025-03-16
75,818,151,511.06,2025-03-28
75,990,54,530.62,2024-10-23
75,563,191,860.03,2025-09-10
75,575,417,506.26,2026-06-17
75,752,160,572.63,2021-07-23
75,753,235,532.06,2025-01-12
75,601,119,643.18,2024-11-10
76,507,306,257.44,2025-06-20
76,782,482,140.16,2024-05-06
76,542,498,944.11,2025-06-17
76,652,175,336.41,2023-08-10
76,1000,493,843.55,2024-07-31
76,916,43,908.85,2021-08-26
77,711,407,907.13,2023-05-14
77,835,288,413.08,2022-08-09
77,965,313,207.73,2026-04-30
77,901,282,288.06,2023-01-14
77,843,383,325.36,2022-02-02
77,987,115,937.51,2022-12-16
77,740,356,964.96,2022-08-16
77,1000,274,953.8,2023-04-25
77,897,47,857.02,2026-03-21
77,517,396,263.72,2023-05-28
77,900,140,77.58,2025-08-07
77,718,330,998.29,2026-06-29
77,644,97,72.04,2023-01-16
77,555,319,540.96,2022-06-06
78,901,282,710.82,2021-11-02
78,767,315,852.09,2026-01-17
78,606,496,232.4,2023-12-14
78,513,425,109.23,2022-12-06
78,864,411,460.22,2024-12-31
78,828,211,994.23,2024-03-06
78,548,393,126.09,2023-11-15
78,708,399,50.87,2021-12-29
79,570,328,604.03,2021-08-01
79,564,230,306.72,2022-07-31
79,587,61,739.05,2021-08-22
79,638,102,347.23,2023-09-12
79,967,26,811.65,2024-03-25
79,544,481,789.86,2023-08-14
79,742,437,923.82,2021-12-15
79,642,196,152.76,2022-04-12
79,865,205,215.03,2023-01-31
79,604,12,447.88,2025-07-08
79,734,134,967.75,2021-12-16
79,914,198,586.56,2021-08-14
79,832,309,239.51,2026-05-20
79,508,102,642.97,2021-12-15
80,696,166,841.98,2024-06-19
80,567,268,212.59,2025-09-15
80,822,43,775.94,2026-01-12
80,667,59,137.02,2023-09-18
80,764,76,544.75,2025-08-27
80,758,189,278.68,2021-11-05
80,669,10,231.07,2021-08-20
80,672,130,186.45,2022-06-04
